,subject_category,subject,relation,object,object_category,gender,strength,literature_source
1964,intervention,curcumin,decrease,il-8,biomarker,male,5.0,"34219573-pmc,34219573-pmc,34219573-pmc,34219573-pmc,33750019-pmc"
1976,intervention,curcumin,decrease,interleukin-6,biomarker,none,4.0,"24909892-pmc,34292930-pmc,33620479-pmc,34319201-pmc"
2012,intervention,curcumin,decrease,oxidative stress,biomarker,none,4.0,"32933595-pmc,34448137-pmc,33539896-pmc,33620479-pmc"
2184,intervention,curcumin,improve,bone disease,risk,none,5.0,"34292930-pmc,34292930-pmc,34326338-pmc,33539896-pmc,27489891-pmc"
2212,intervention,curcumin,improve,insulin resistance,risk,none,4.0,"33256358-pmc,34252377-pmc,34448137-pmc,33653214-pmc"
2236,intervention,curcumin,improve,psoriasis lesion area and severity index [pasi]50,biomarker,none,4.0,"34292930-pmc,34292930-pmc,34292930-pmc,34292930-pmc"
2673,intervention,folic acid,decrease,homocysteine,biomarker,none,4.0,"20499873-pmc,21045694-pmc,32614019-pmc,33630653-pmc"
2674,intervention,folic acid,decrease,homocysteine,biomarker,none,5.0,"25671777-pmc,32261515-pmc,32770180-pmc,33301846-pmc,34681796-pmc"
2714,intervention,folic acid supplements,decrease,homocysteine,biomarker,none,10.0,"26029085-pmc,26029085-pmc,26171043-pmc,30118220-pmc,31044464-pmc,31133679-pmc,31309917-pmc,33446773-pmc,33835058-pmc,34070107-pmc"
2761,intervention,folic acid supplements,increase,folate,biomarker,female,4.0,"31938475-pmc,31938475-pmc,31938475-pmc,32621589-pmc"
2862,intervention,glucosamine,decrease,bone disease,risk,none,5.0,"28505841-pmc,28606592-pmc,17549304-pmc,17604900-pmc,17015834-pmc"
3029,intervention,grape seed extract,increase,apoa-i,biomarker,none,4.0,"25976692-pmc,25976692-pmc,25976692-pmc,25976692-pmc"
3130,intervention,high dose of cholecalciferol,increase,vitamin d3,biomarker,none,4.0,"23654063-pmc,32576088-pmc,33617509-pmc,24220759-pmc"
3425,intervention,iron supplements,decrease,anemia,risk,none,11.0,"26718639-pmc,16639916-pmc,21934288-pmc,21934288-pmc,21934288-pmc,21934288-pmc,21934288-pmc,23163487-pmc,23163487-pmc,23163487-pmc,24528620-pmc"
3467,intervention,iron supplements,increase,anemia,risk,none,6.0,"21050657-pmc,21934288-pmc,22401675-pmc,23751479-pmc,23963346-pmc,24528620-pmc"
3472,intervention,iron supplements,increase,ferritin,biomarker,none,7.0,"21934288-pmc,34127089-pmc,21736137-pmc,23004104-pmc,26583404-pmc,24298147-pmc,32203304-pmc"
3473,intervention,iron supplements,increase,ferritin,biomarker,none,4.0,"20141459-pmc,26842234-pmc,26842234-pmc,26842234-pmc"
3474,intervention,iron supplements,increase,ferritin,biomarker,none,4.0,"31415861-pmc,28126581-pmc,28126581-pmc,31779602-pmc"
3477,intervention,iron supplements,increase,ferritin,biomarker,female,7.0,"21271027-pmc,21271027-pmc,23164619-pmc,27088272-pmc,29543139-pmc,34444996-pmc,34701202-pmc"
3493,intervention,iron supplements,increase,iron,biomarker,none,9.0,"21934288-pmc,30209874-pmc,30209874-pmc,33816671-pmc,19332301-pmc,23450843-pmc,26859200-pmc,29261183-pmc,33514942-pmc"
3526,intervention,iron supplements,increase,transferrin saturation,biomarker,none,4.0,"21934288-pmc,33514942-pmc,34127089-pmc,21736137-pmc"
3640,intervention,lactobacillus rhamnosus gg [lgg],decrease,irritable bowel syndrome,risk,none,4.0,"18666904-pmc,32752536-pmc,28382277-pmc,28382277-pmc"
3963,intervention,lycopene,impact,prostate specific antigen [psa],biomarker,male,4.0,"28903711-pmc,33413321-pmc,34783111-pmc,34783111-pmc"
4427,intervention,nicotinamide mononucleotide,increase,nad+,biomarker,none,4.0,"33997976-pmc,33171998-pmc,33726432-pmc,34563936-pmc"
4502,intervention,nicotinamide riboside,increase,nad+,biomarker,none,5.0,"27761266-pmc,29759276-pmc,32553786-pmc,34069900-pmc,34492500-pmc"
4662,intervention,peppermint oil,decrease,irritable bowel syndrome,risk,none,7.0,"29179686-pmc,32143068-pmc,29733887-pmc,29736678-pmc,31292525-pmc,33169026-pmc,34584945-pmc"
4779,intervention,potassium supplementation,increase,blood level potassium,biomarker,none,5.0,"23622639-pmc,29940018-pmc,31749514-pmc,32595603-pmc,32595603-pmc"
4797,intervention,prebiotics,decrease,irritable bowel syndrome,risk,none,5.0,"29915355-pmc,33460317-pmc,33679978-pmc,34360166-pmc,34406962-pmc"
4803,intervention,prebiotics,increase,irritable bowel syndrome,risk,none,4.0,"34001379-pmc,34780799-pmc,29803790-pmc,30326601-pmc"
4869,intervention,probiotics,decrease,alanine aminotransferase,biomarker,none,7.0,"34185021-pmc,34737740-pmc,30317125-pmc,34214402-pmc,34185021-pmc,34299163-pmc,34214402-pmc"
4910,intervention,probiotics,decrease,body mass index,biomarker,none,6.0,"29665487-pmc,33430732-pmc,33871130-pmc,34299163-pmc,29317932-pmc,34126513-pmc"
4918,intervention,probiotics,decrease,c-reactive protein,biomarker,none,8.0,"28191003-pmc,27776308-pmc,31941212-pmc,33430732-pmc,31126347-pmc,33259787-pmc,34005327-pmc,34393920-pmc"
5026,intervention,probiotics,decrease,hemoglobin a1c,biomarker,none,9.0,"33944089-pmc,33944089-pmc,29665487-pmc,31057657-pmc,33944089-pmc,34195125-pmc,30107636-pmc,32255614-pmc,34253844-pmc"
5043,intervention,probiotics,decrease,homa-ir,biomarker,none,5.0,"31057657-pmc,33141831-pmc,33944089-pmc,34299163-pmc,34300304-pmc"
5081,intervention,probiotics,decrease,inflammatory cytokines,biomarker,none,5.0,"33944089-pmc,34287012-pmc,30107636-pmc,31126347-pmc,34237839-pmc"
5095,intervention,probiotics,decrease,interleukin-6,biomarker,none,9.0,"29698341-pmc,32984527-pmc,32984527-pmc,34299163-pmc,31126347-pmc,33829221-pmc,34005327-pmc,34237839-pmc,34279719-pmc"
5098,intervention,probiotics,decrease,intestinal permeability,biomarker,none,5.0,"33430732-pmc,33871130-pmc,32313344-pmc,34005327-pmc,34005327-pmc"
5104,intervention,probiotics,decrease,irritable bowel syndrome,risk,none,35.0,"18666904-pmc,29915355-pmc,29915355-pmc,29915355-pmc,31592506-pmc,32143068-pmc,32807398-pmc,33460317-pmc,33679978-pmc,34001379-pmc,34360166-pmc,34360166-pmc,34360166-pmc,34406962-pmc,34638049-pmc,34837389-pmc,22593717-pmc,28377733-pmc,29733887-pmc,29736678-pmc,29986434-pmc,30680950-pmc,30938226-pmc,31292525-pmc,31470119-pmc,33260340-pmc,33260340-pmc,33260340-pmc,33678777-pmc,34493496-pmc,34584945-pmc,34611933-pmc,34703840-pmc,31247624-pmc,30804536-pmc"
5122,intervention,probiotics,decrease,ldl cholesterol,biomarker,none,6.0,"32319826-pmc,34296489-pmc,29665487-pmc,33944089-pmc,34300304-pmc,25234276-pmc"
5124,intervention,probiotics,decrease,ldl cholesterol,biomarker,none,5.0,"34183231-pmc,34183231-pmc,32600333-pmc,34183231-pmc,34343674-pmc"
5142,intervention,probiotics,decrease,malondialdehyde,biomarker,none,6.0,"32984527-pmc,32984527-pmc,33394119-pmc,33944089-pmc,33944089-pmc,33944089-pmc"
5252,intervention,probiotics,decrease,tnf-α,biomarker,none,6.0,"32984527-pmc,34299163-pmc,29317932-pmc,31126347-pmc,34237839-pmc,34279719-pmc"
5256,intervention,probiotics,decrease,total cholesterol,biomarker,none,7.0,"29665487-pmc,33394119-pmc,33871130-pmc,33944089-pmc,34299163-pmc,25234276-pmc,29317932-pmc"
5264,intervention,probiotics,decrease,triglycerides,biomarker,none,6.0,"34296489-pmc,29665487-pmc,33944089-pmc,34299163-pmc,34300304-pmc,29317932-pmc"
5337,intervention,probiotics,impact,blood lipid concentrations,biomarker,none,5.0,"33944089-pmc,25234276-pmc,25234276-pmc,33827410-pmc,33827410-pmc"
5340,intervention,probiotics,impact,blood markers,biomarker,none,10.0,"22807851-pmc,29987660-pmc,32319297-pmc,33141831-pmc,33614430-pmc,33778743-pmc,34274901-pmc,34300304-pmc,32580636-pmc,33564459-pmc"
5378,intervention,probiotics,impact,depression,risk,none,5.0,"31074087-pmc,33130888-pmc,33141831-pmc,33614430-pmc,30804536-pmc"
5418,intervention,probiotics,impact,gut microbiome,biomarker,none,11.0,"24078878-pmc,33944089-pmc,34151933-pmc,34287012-pmc,23013538-pmc,33827410-pmc,34005327-pmc,34126513-pmc,34212374-pmc,34237839-pmc,34253844-pmc"
5425,intervention,probiotics,impact,hdl cholesterol,biomarker,none,4.0,"31057657-pmc,33508092-pmc,34300304-pmc,25234276-pmc"
5510,intervention,probiotics,impact,lean mass,biomarker,none,4.0,"34790787-pmc,34790787-pmc,34126513-pmc,34790787-pmc"
5630,intervention,probiotics,impact,total cholesterol,biomarker,none,4.0,"31057657-pmc,33508092-pmc,34300304-pmc,34126513-pmc"
5638,intervention,probiotics,impact,triglycerides,biomarker,none,4.0,"33508092-pmc,25234276-pmc,34126513-pmc,34126513-pmc"
5694,intervention,probiotics,improve,depression,risk,none,6.0,"31941212-pmc,33141831-pmc,33614430-pmc,33778723-pmc,31828824-pmc,34164484-pmc"
5697,intervention,probiotics,improve,eczema,risk,none,4.0,"34197999-pmc,34293185-pmc,34293185-pmc,33212299-pmc"
5729,intervention,probiotics,improve,gut microbiome,biomarker,none,6.0,"34638049-pmc,33141831-pmc,33832850-pmc,34140653-pmc,32313344-pmc,34237839-pmc"
5737,intervention,probiotics,improve,hemoglobin a1c,biomarker,none,5.0,"33944089-pmc,31217395-pmc,29665487-pmc,31057657-pmc,33944089-pmc"
5757,intervention,probiotics,improve,inflammatory bowel disease,risk,none,5.0,"28488028-pmc,29215715-pmc,31126347-pmc,31126347-pmc,33653906-pmc"
5766,intervention,probiotics,improve,insulin sensitivity,biomarker,none,8.0,"29628178-pmc,31217395-pmc,32319297-pmc,33394119-pmc,33944089-pmc,30107636-pmc,31828824-pmc,34364753-pmc"
5781,intervention,probiotics,improve,irritable bowel syndrome,risk,none,12.0,"29915355-pmc,26727019-pmc,33108505-pmc,33260340-pmc,33307327-pmc,34107328-pmc,18666904-pmc,28488028-pmc,28826790-pmc,23013538-pmc,23013538-pmc,23013538-pmc"
5898,intervention,probiotics,increase,akkermansia,biomarker,none,7.0,"31057657-pmc,33871130-pmc,34287012-pmc,34287012-pmc,34126513-pmc,34126513-pmc,34126513-pmc"
5982,intervention,probiotics,increase,faecalibacterium,biomarker,none,6.0,"34287012-pmc,29317932-pmc,33697255-pmc,34126513-pmc,34253844-pmc,34253844-pmc"
6003,intervention,probiotics,increase,hdl cholesterol,biomarker,none,4.0,"34296489-pmc,29665487-pmc,33944089-pmc,34253844-pmc"
6034,intervention,probiotics,increase,irritable bowel syndrome,risk,none,14.0,"29915355-pmc,29915355-pmc,29915355-pmc,33124429-pmc,33413184-pmc,34001379-pmc,34780799-pmc,26727019-pmc,29803790-pmc,29872677-pmc,30326601-pmc,30773097-pmc,31354219-pmc,33307327-pmc"
6048,intervention,probiotics,increase,lactobacillus,biomarker,none,5.0,"29470709-pmc,31247624-pmc,34299163-pmc,32313344-pmc,34245426-pmc"
6122,intervention,probiotics,increase,ruminococcus,biomarker,none,4.0,"34287012-pmc,28779082-pmc,29317932-pmc,34253844-pmc"
6127,intervention,probiotics,increase,scfa production,biomarker,none,4.0,"27350680-pmc,33944089-pmc,34287012-pmc,29215715-pmc"
6264,intervention,protein supplements,decrease,sarcopenia,risk,none,7.0,"34599807-pmc,31189272-pmc,31927598-pmc,34216306-pmc,30100082-pmc,30100082-pmc,31520390-pmc"
6301,intervention,protein supplements,improve,lean mass,biomarker,none,4.0,"24178421-pmc,32103607-pmc,32830250-pmc,32830250-pmc"
6350,intervention,protein supplements,increase,lean mass,biomarker,none,11.0,"29456787-pmc,34216306-pmc,24178421-pmc,32103607-pmc,32103607-pmc,32830250-pmc,32830250-pmc,32830250-pmc,30974088-pmc,30974088-pmc,30974088-pmc"
6351,intervention,protein supplements,increase,lean mass,biomarker,none,4.0,"34769733-pmc,34769733-pmc,34769733-pmc,34769733-pmc"
6359,intervention,protein supplements,increase,muscle mass,biomarker,none,8.0,"33955991-pmc,34306529-pmc,26397678-pmc,29336354-pmc,29678716-pmc,29678716-pmc,24152610-pmc,25487790-pmc"
6400,intervention,psyllium,decrease,irritable bowel syndrome,risk,none,5.0,"28971064-pmc,34360166-pmc,34360166-pmc,29736678-pmc,34587862-pmc"
6539,intervention,rutin,decrease,blood glucose,biomarker,none,5.0,"33013307-pmc,33163357-pmc,22076491-pmc,27120563-pmc,28556184-pmc"
6547,intervention,rutin,decrease,cholesterol,biomarker,none,4.0,"22076491-pmc,23834263-pmc,32204691-pmc,27120563-pmc"
6554,intervention,rutin,decrease,ldl cholesterol,biomarker,none,8.0,"33446255-pmc,33013307-pmc,33163357-pmc,33487149-pmc,22076491-pmc,23834263-pmc,28556184-pmc,33058040-pmc"
6560,intervention,rutin,decrease,oxidative stress,biomarker,none,6.0,"33013307-pmc,33487149-pmc,22076491-pmc,23834263-pmc,32204691-pmc,28556184-pmc"
6570,intervention,rutin,impact,blood markers,biomarker,none,5.0,"26944735-pmc,30343962-pmc,31473613-pmc,32230778-pmc,25095048-pmc"
6585,intervention,rutin,improve,insulin sensitivity,biomarker,none,4.0,"33013307-pmc,33487149-pmc,27120563-pmc,28556184-pmc"
6648,intervention,silymarin,decrease,alanine aminotransferase,biomarker,none,6.0,"34448137-pmc,31500322-pmc,23076099-pmc,34448137-pmc,31500322-pmc,34804430-pmc"
6652,intervention,silymarin,decrease,alkaline phosphatase,biomarker,none,4.0,"23076099-pmc,29251404-pmc,29251404-pmc,31500322-pmc"
6744,intervention,silymarin,improve,alanine aminotransferase,biomarker,none,4.0,"34448137-pmc,34448137-pmc,34448137-pmc,34804430-pmc"
7180,intervention,the lactic fermented egg white [lafew] 8 g,decrease,visceral fat,biomarker,male,4.0,"29373988-pmc,29373988-pmc,29373988-pmc,29373988-pmc"
7511,intervention,vitamin b12 supplements,decrease,homocysteine,biomarker,none,5.0,"31133679-pmc,32108600-pmc,32108600-pmc,33962053-pmc,33880112-pmc"
7679,intervention,vitamin d3 supplements,decrease,bone disease,risk,none,4.0,"21174330-pmc,30509936-pmc,23342325-pmc,27187617-pmc"
7724,intervention,vitamin d3 supplements,decrease,hemoglobin a1c,biomarker,none,4.0,"25944495-pmc,27435465-pmc,34463377-pmc,24623977-pmc"
7757,intervention,vitamin d3 supplements,decrease,interleukin-6,biomarker,none,4.0,"31044428-pmc,33930721-pmc,33592340-pmc,31579958-pmc"
7760,intervention,vitamin d3 supplements,decrease,kidney failure,risk,none,4.0,"23649195-pmc,23654063-pmc,24226889-pmc,24896360-pmc"
7866,intervention,vitamin d3 supplements,decrease,total cholesterol,biomarker,none,4.0,"27435465-pmc,28931067-pmc,27435465-pmc,30406292-pmc"
7869,intervention,vitamin d3 supplements,decrease,triglycerides,biomarker,none,4.0,"21592517-pmc,31581790-pmc,27435465-pmc,34463377-pmc"
7875,intervention,vitamin d3 supplements,decrease,vitamin d deficiency,biomarker,none,6.0,"33511034-pmc,27801578-pmc,31420225-pmc,34159110-pmc,27072827-pmc,34159110-pmc"
8032,intervention,vitamin d3 supplements,improve,25[oh]d,biomarker,none,7.0,"25090382-pmc,27678798-pmc,30082192-pmc,31044428-pmc,32197965-pmc,31420225-pmc,31711750-pmc"
8055,intervention,vitamin d3 supplements,improve,bone mineral density,biomarker,none,4.0,"34011959-pmc,34318403-pmc,27958083-pmc,31037510-pmc"
8181,intervention,vitamin d3 supplements,improve,vitamin d3,biomarker,none,24.0,"34593310-pmc,25090382-pmc,27442376-pmc,27801578-pmc,30246109-pmc,30253993-pmc,31385984-pmc,32589242-pmc,32973861-pmc,33621708-pmc,34585245-pmc,31420225-pmc,31668728-pmc,31754255-pmc,33622163-pmc,34011959-pmc,34176951-pmc,34318403-pmc,31293920-pmc,24220759-pmc,34405257-pmc,31160335-pmc,30135699-pmc,30924356-pmc"
8183,intervention,vitamin d3 supplements,improve,vitamin d3,biomarker,none,4.0,"22329440-pmc,28088409-pmc,31865527-pmc,34012924-pmc"
8186,intervention,vitamin d3 supplements,improve,vitamin d3,biomarker,female,7.0,"34587847-pmc,31929554-pmc,33620462-pmc,31855671-pmc,32851883-pmc,34235036-pmc,27316061-pmc"
8187,intervention,vitamin d3 supplements,improve,vitamin d3,biomarker,female,8.0,"29837563-pmc,29837563-pmc,30233348-pmc,31992131-pmc,34582255-pmc,25640035-pmc,32593933-pmc,34810567-pmc"
8220,intervention,vitamin d3 supplements,increase,25[oh]d,biomarker,none,16.0,"23112382-pmc,23201443-pmc,25090382-pmc,27801578-pmc,32197965-pmc,32589242-pmc,33997627-pmc,34708859-pmc,24214314-pmc,26307165-pmc,27842221-pmc,28808348-pmc,27072827-pmc,31148057-pmc,23655686-pmc,30234553-pmc"
8224,intervention,vitamin d3 supplements,increase,25[oh]d,biomarker,none,5.0,"27182404-pmc,24223191-pmc,30065577-pmc,30065577-pmc,34648417-pmc"
8225,intervention,vitamin d3 supplements,increase,25[oh]d,biomarker,female,10.0,"31509306-pmc,34703036-pmc,28291270-pmc,24846273-pmc,34122101-pmc,25504956-pmc,30828550-pmc,30828550-pmc,33805345-pmc,28291270-pmc"
8227,intervention,vitamin d3 supplements,increase,25[oh]d,biomarker,female,6.0,"31983235-pmc,27165015-pmc,27165015-pmc,27165015-pmc,21800225-pmc,22601933-pmc"
8230,intervention,vitamin d3 supplements,increase,25[oh]d concentrations,biomarker,none,6.0,"23112382-pmc,31385984-pmc,31385985-pmc,31390195-pmc,33892533-pmc,31535767-pmc"
8263,intervention,vitamin d3 supplements,increase,blood level calcium,biomarker,none,8.0,"24175283-pmc,24175283-pmc,22882685-pmc,24214314-pmc,28039836-pmc,29270037-pmc,31577171-pmc,33565442-pmc"
8273,intervention,vitamin d3 supplements,increase,bone mineral density,biomarker,none,6.0,"33956902-pmc,27623018-pmc,28040376-pmc,28040376-pmc,31429130-pmc,28851171-pmc"
8276,intervention,vitamin d3 supplements,increase,bone mineral density,biomarker,none,4.0,"34210622-pmc,24158660-pmc,27158984-pmc,28025153-pmc"
8277,intervention,vitamin d3 supplements,increase,bone mineral density,biomarker,female,4.0,"33539928-pmc,34161990-pmc,34567847-pmc,31315153-pmc"
8437,intervention,vitamin d3 supplements,increase,serum 25-hydroxyvitamin d,biomarker,none,4.0,"30246109-pmc,26242508-pmc,27524530-pmc,31911635-pmc"
8441,intervention,vitamin d3 supplements,increase,serum 25-hydroxyvitamin d concentrations,biomarker,none,8.0,"34593310-pmc,24015449-pmc,26029091-pmc,27076430-pmc,31385984-pmc,31385985-pmc,32261560-pmc,31581790-pmc"
8460,intervention,vitamin d3 supplements,increase,serum 25[oh]d,biomarker,none,29.0,"34574855-pmc,26124129-pmc,32576088-pmc,34593310-pmc,22598622-pmc,23112382-pmc,25008311-pmc,26083327-pmc,27678798-pmc,30246109-pmc,31783968-pmc,32197965-pmc,32261560-pmc,33565442-pmc,33997627-pmc,33997627-pmc,33997627-pmc,34155902-pmc,34677407-pmc,24534217-pmc,30505016-pmc,31581790-pmc,24214314-pmc,27435465-pmc,31293920-pmc,30860112-pmc,27072827-pmc,30304641-pmc,30253993-pmc"
8462,intervention,vitamin d3 supplements,increase,serum 25[oh]d,biomarker,none,5.0,"32271572-pmc,34592518-pmc,32326361-pmc,27045250-pmc,31036759-pmc"
8463,intervention,vitamin d3 supplements,increase,serum 25[oh]d,biomarker,none,8.0,"22580474-pmc,29629410-pmc,31691011-pmc,34085005-pmc,22569503-pmc,22580474-pmc,24543585-pmc,24972218-pmc"
8464,intervention,vitamin d3 supplements,increase,serum 25[oh]d,biomarker,female,7.0,"34567847-pmc,22139621-pmc,33620462-pmc,28291270-pmc,26519321-pmc,29932436-pmc,28291270-pmc"
8465,intervention,vitamin d3 supplements,increase,serum 25[oh]d,biomarker,female,4.0,"24884457-pmc,34757737-pmc,34810567-pmc,34810567-pmc"
8466,intervention,vitamin d3 supplements,increase,serum 25[oh]d,biomarker,female,5.0,"16912505-pmc,31983235-pmc,27165015-pmc,27165015-pmc,16912505-pmc"
8470,intervention,vitamin d3 supplements,increase,serum 25[oh]d3,biomarker,none,4.0,"24953492-pmc,27442376-pmc,29706973-pmc,31673696-pmc"
8477,intervention,vitamin d3 supplements,increase,serum calcium,biomarker,none,6.0,"23809598-pmc,24371176-pmc,29270037-pmc,30298923-pmc,34405257-pmc,30406292-pmc"
8478,intervention,vitamin d3 supplements,increase,serum calcium,biomarker,none,4.0,"25040197-pmc,34318141-pmc,30846768-pmc,29731963-pmc"
8502,intervention,vitamin d3 supplements,increase,serum vitamin d,biomarker,none,12.0,"24149424-pmc,31160338-pmc,27621510-pmc,28565186-pmc,31581790-pmc,31754255-pmc,31911635-pmc,30165212-pmc,30312810-pmc,24623977-pmc,30253993-pmc,31911635-pmc"
8557,intervention,vitamin d3 supplements,increase,vitamin d3,biomarker,none,95.0,"31640965-pmc,34014783-pmc,29782026-pmc,34593310-pmc,21609548-pmc,23201443-pmc,25090382-pmc,25330498-pmc,25330498-pmc,25330498-pmc,26083327-pmc,26389815-pmc,27076430-pmc,27553421-pmc,27553421-pmc,27801578-pmc,28258800-pmc,28582983-pmc,28716841-pmc,29183332-pmc,29706973-pmc,29723132-pmc,30246109-pmc,30246109-pmc,30253993-pmc,30253993-pmc,31317745-pmc,31351832-pmc,31673696-pmc,31783968-pmc,32197965-pmc,32261560-pmc,32589242-pmc,32844438-pmc,32973861-pmc,33020700-pmc,33227604-pmc,33565442-pmc,33930721-pmc,33994163-pmc,33997627-pmc,33997627-pmc,34280333-pmc,34445872-pmc,34585245-pmc,26232090-pmc,26232090-pmc,30488538-pmc,31309554-pmc,31309554-pmc,31309554-pmc,31420225-pmc,31581790-pmc,31754255-pmc,26307165-pmc,26307165-pmc,26325424-pmc,27435465-pmc,33524333-pmc,33622163-pmc,33669672-pmc,33984352-pmc,33984352-pmc,34011959-pmc,34159110-pmc,34176951-pmc,34176951-pmc,34318403-pmc,34322030-pmc,27061562-pmc,27061562-pmc,27110646-pmc,28808348-pmc,29769733-pmc,30165212-pmc,31293920-pmc,31293920-pmc,31293920-pmc,32414104-pmc,34735120-pmc,24220759-pmc,26474326-pmc,27524530-pmc,27958083-pmc,28073415-pmc,29222780-pmc,30260283-pmc,34670044-pmc,27072827-pmc,31148057-pmc,30389358-pmc,31599791-pmc,31911635-pmc,32106099-pmc,32855772-pmc"
8558,intervention,vitamin d3 supplements,increase,vitamin d3,biomarker,none,11.0,"24167048-pmc,33491060-pmc,27020628-pmc,33109378-pmc,33238480-pmc,33756726-pmc,34296168-pmc,34584949-pmc,28627083-pmc,33612956-pmc,25167012-pmc"
8559,intervention,vitamin d3 supplements,increase,vitamin d3,biomarker,none,29.0,"31246635-pmc,24466313-pmc,22329440-pmc,27045250-pmc,28311477-pmc,28311477-pmc,30140015-pmc,32137233-pmc,34341697-pmc,34592518-pmc,34707842-pmc,21839024-pmc,27064418-pmc,27296312-pmc,27296312-pmc,31865527-pmc,32048271-pmc,32495926-pmc,34575007-pmc,27941703-pmc,32822746-pmc,21934542-pmc,26709887-pmc,32871756-pmc,34012924-pmc,21647907-pmc,27045250-pmc,31036759-pmc,32248346-pmc"
8560,intervention,vitamin d3 supplements,increase,vitamin d3,biomarker,none,7.0,"27813029-pmc,30267178-pmc,33225578-pmc,34574834-pmc,26643988-pmc,30687934-pmc,28772516-pmc"
